DATE,PRCP,SNOW,TMAX,TMIN,AVG_Temp
3/13/2001,32.3,0,8.3,1.7,5
3/14/2001,0,0,8.9,5.6,7.25
3/15/2001,0,0,11.1,5,8.05
3/16/2001,4.3,0,13.9,5,9.45
3/17/2001,5.3,0,8.3,2.8,5.55
3/18/2001,0,0,8.3,1.1,4.7
3/19/2001,0,0,11.7,1.1,6.4
3/20/2001,0,0,12.8,3.3,8.05
3/21/2001,26.2,0,6.7,3.9,5.3
3/22/2001,32.5,0,7.2,3.9,5.55
3/23/2001,0,0,13.9,3.9,8.9
3/24/2001,0,0,11.1,1.1,6.1
3/25/2001,0,0,6.7,-1.1,2.8
3/26/2001,1.3,8,2.8,-2.8,0
3/27/2001,0,0,5,-4.4,0.3
3/28/2001,0,0,9.4,-1.1,4.15
3/29/2001,5.3,0,7.8,2.2,5
3/30/2001,54.9,0,6.1,2.8,4.45
3/31/2001,1.5,0,8.3,3.3,5.8
4/1/2001,0.3,0,6.1,3.3,4.7
4/2/2001,0,0,9.4,2.8,6.1
4/3/2001,0,0,12.8,2.8,7.8
4/4/2001,0,0,12.2,3.3,7.75
4/5/2001,0,0,17.8,5,11.4
4/6/2001,6.4,0,12.2,8.3,10.25
4/7/2001,0,0,12.2,6.1,9.15
4/8/2001,3,0,7.2,5,6.1
4/9/2001,15.2,0,25.6,7.2,16.4
4/10/2001,1,0,16.7,8.9,12.8
4/11/2001,4.3,0,11.7,6.7,9.2
4/12/2001,1.3,0,14.4,6.1,10.25
4/13/2001,0,0,22.8,10.6,16.7
4/14/2001,0,0,19.4,7.8,13.6
4/15/2001,1.5,0,20,8.9,14.45
4/16/2001,2.3,0,16.1,8.3,12.2
4/17/2001,0,0,11.1,6.7,8.9
4/18/2001,0.3,0,12.2,3.3,7.75
4/19/2001,0,0,12.8,1.1,6.95
4/20/2001,0,0,17.8,7.2,12.5
4/21/2001,4.6,0,20,11.1,15.55
4/22/2001,0,0,30,11.7,20.85
4/23/2001,0,0,26.7,15,20.85
4/24/2001,0,0,30.6,11.1,20.85
4/25/2001,0,0,12.8,8.3,10.55
4/26/2001,0,0,17.2,8.3,12.75
4/27/2001,0,0,22.8,7.2,15
4/28/2001,0,0,17.8,9.4,13.6
4/29/2001,0,0,18.9,6.7,12.8
4/30/2001,0,0,25.6,9.4,17.5
5/1/2001,0,0,30.6,17.2,23.9
5/2/2001,0,0,32.2,18.9,25.55
5/3/2001,0,0,32.2,20,26.1
5/4/2001,0,0,33.3,21.7,27.5
5/5/2001,0,0,26.1,15.6,20.85
5/6/2001,0,0,17.8,9.4,13.6
5/7/2001,0,0,17.2,6.1,11.65
5/8/2001,0,0,18.9,8.3,13.6
