,Actuals,0
4344,-3.35,-5.0767126
4345,6.4,1.8997792
4346,8.649999999999999,8.031422
4347,4.45,5.461624
4348,2.5,2.0979235
4349,9.7,3.4519665
4350,5.55,7.5593033
4351,3.9,2.293148
4352,2.75,4.561448
4353,9.15,2.8461144
4354,12.8,8.9536495
4355,5.85,5.155255
4356,2.8,3.4566402
4357,4.75,2.8161707
4358,2.2,3.9377823
4359,5.6,1.796523
4360,6.35,7.325367
4361,1.35,3.8662603
4362,3.6,2.56801
4363,4.15,5.154047
4364,1.65,4.238614
4365,-3.35,3.1618223
4366,2.25,-0.58738446
4367,5.25,4.8355284
4368,5.85,1.3533175
4369,4.45,5.016061
4370,7.5,6.4542217
4371,5.3,8.391372
4372,4.2,2.5769303
4373,3.6,3.6131153
4374,3.9,3.9112883
4375,10.0,4.928912
4376,11.1,7.885542
4377,5.0,6.1599054
4378,3.9,4.395807
4379,2.75,4.1575575
4380,8.6,3.902124
4381,7.2,7.3736944
4382,4.449999999999998,4.5963583
4383,3.9,6.22721
4384,3.1,5.1418915
4385,9.45,4.890314
4386,4.7,8.739337
4387,2.25,2.679416
4388,1.4,5.0052614
4389,9.75,3.0205364
4390,16.7,12.697419
4391,10.3,13.393361
4392,2.2,5.3856144
4393,9.15,5.376737
4394,15.0,13.885158
4395,17.75,14.872626
4396,15.55,14.585521
4397,8.6,10.458621
4398,8.35,9.247235
4399,11.95,11.061465
4400,12.8,13.377402
4401,18.05,13.854165
4402,17.8,15.042705
4403,16.65,13.749087
4404,19.450000000000006,14.652049
4405,19.4,15.213989
4406,13.3,14.735393
4407,9.15,11.11678
4408,6.65,9.213673
4409,4.75,8.387432
4410,13.05,7.93501
4411,11.1,11.939092
4412,9.15,8.85436
4413,4.699999999999998,10.125344
4414,8.35,5.7971153
4415,9.15,10.241158
4416,11.1,9.129653
4417,14.15,12.308249
4418,10.0,13.632663
4419,9.15,9.496659
4420,10.25,9.6886015
4421,13.05,10.503473
4422,13.6,13.433705
4423,11.4,13.6775255
4424,8.899999999999997,11.402446
4425,11.1,10.229957
4426,12.2,12.185761
4427,16.1,12.451886
4428,19.7,14.778197
4429,24.700000000000006,19.36006
4430,20.85,23.729029
4431,13.05,15.667754
4432,14.7,11.80433
4433,16.95,13.565217
4434,16.95,15.981335
4435,10.0,14.768226
4436,8.899999999999997,10.005403
4437,10.0,10.124399
4438,11.4,10.001005
4439,11.65,12.493278
4440,9.15,12.026778
4441,9.45,10.090204
4442,11.95,10.869103
4443,11.4,12.528308
4444,15.3,12.006868
4445,10.85,14.4383135
4446,12.2,11.036806
4447,17.5,12.96577
4448,15.25,18.552702
4449,15.0,13.533955
4450,14.7,13.955501
4451,15.85,14.252892
4452,17.25,15.457814
4453,14.45,16.830187
4454,14.7,14.267853
4455,18.65,15.155833
4456,22.2,19.205065
4457,19.15,21.392504
4458,17.200000000000006,17.69356
4459,20.85,16.86779
4460,16.95,20.180334
4461,17.2,16.303293
4462,19.2,17.20009
4463,19.75,18.641554
4464,15.3,19.017729
4465,18.35,15.751748
4466,20.85,18.406925
4467,17.799999999999994,19.284588
4468,19.75,18.067413
4469,24.15,19.851503
4470,22.5,23.882555
4471,26.7,20.451605
4472,25.85,23.173967
4473,22.2,22.81159
4474,22.5,21.229036
4475,20.0,21.999008
4476,20.0,19.61368
4477,19.4,20.40399
4478,14.7,19.400042
4479,14.2,16.591011
4480,17.2,16.689243
4481,20.0,19.157385
4482,21.4,20.758585
4483,21.700000000000006,21.417765
4484,23.9,21.715487
4485,21.4,23.899256
4486,20.25,20.259537
4487,19.200000000000006,20.691
4488,20.85,19.414557
4489,21.15,21.96371
